"filename", "language", "Ruby", "Ruby ERB", "JavaScript", "SCSS", "JSON", "Markdown", "YAML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\kenz\3D Objects\geekcycle\README.md", "Markdown", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 12, 25
"c:\Users\kenz\3D Objects\geekcycle\app\assets\config\manifest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\kenz\3D Objects\geekcycle\app\assets\stylesheets\application.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 132, 0, 15, 3, 150
"c:\Users\kenz\3D Objects\geekcycle\app\assets\stylesheets\camps.scss", "SCSS", 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 2, 20
"c:\Users\kenz\3D Objects\geekcycle\app\assets\stylesheets\comments.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"c:\Users\kenz\3D Objects\geekcycle\app\assets\stylesheets\hello.scss", "SCSS", 0, 0, 0, 142, 0, 0, 0, 0, 0, 4, 16, 162
"c:\Users\kenz\3D Objects\geekcycle\app\assets\stylesheets\likes.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"c:\Users\kenz\3D Objects\geekcycle\app\assets\stylesheets\loves.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"c:\Users\kenz\3D Objects\geekcycle\app\assets\stylesheets\reviews.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"c:\Users\kenz\3D Objects\geekcycle\app\assets\stylesheets\tours.scss", "SCSS", 0, 0, 0, 72, 0, 0, 0, 0, 0, 3, 13, 88
"c:\Users\kenz\3D Objects\geekcycle\app\assets\stylesheets\users.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"c:\Users\kenz\3D Objects\geekcycle\app\channels\application_cable\channel.rb", "Ruby", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\kenz\3D Objects\geekcycle\app\channels\application_cable\connection.rb", "Ruby", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\kenz\3D Objects\geekcycle\app\controllers\application_controller.rb", "Ruby", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 13
"c:\Users\kenz\3D Objects\geekcycle\app\controllers\camps_controller.rb", "Ruby", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 62
"c:\Users\kenz\3D Objects\geekcycle\app\controllers\comments_controller.rb", "Ruby", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\kenz\3D Objects\geekcycle\app\controllers\goods_controller.rb", "Ruby", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\kenz\3D Objects\geekcycle\app\controllers\hello_controller.rb", "Ruby", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\kenz\3D Objects\geekcycle\app\controllers\likes_controller.rb", "Ruby", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\kenz\3D Objects\geekcycle\app\controllers\reviews_controller.rb", "Ruby", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\kenz\3D Objects\geekcycle\app\controllers\tours_controller.rb", "Ruby", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 63
"c:\Users\kenz\3D Objects\geekcycle\app\controllers\users\confirmations_controller.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 22, 7, 31
"c:\Users\kenz\3D Objects\geekcycle\app\controllers\users\omniauth_callbacks_controller.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 21, 8, 31
"c:\Users\kenz\3D Objects\geekcycle\app\controllers\users\passwords_controller.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 25, 8, 35
"c:\Users\kenz\3D Objects\geekcycle\app\controllers\users\registrations_controller.rb", "Ruby", 8, 0, 0, 0, 0, 0, 0, 0, 0, 50, 14, 72
"c:\Users\kenz\3D Objects\geekcycle\app\controllers\users\sessions_controller.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 19, 7, 28
"c:\Users\kenz\3D Objects\geekcycle\app\controllers\users\unlocks_controller.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 22, 7, 31
"c:\Users\kenz\3D Objects\geekcycle\app\controllers\users_controller.rb", "Ruby", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\kenz\3D Objects\geekcycle\app\helpers\application_helper.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kenz\3D Objects\geekcycle\app\helpers\camps_helper.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kenz\3D Objects\geekcycle\app\helpers\comments_helper.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kenz\3D Objects\geekcycle\app\helpers\hello_helper.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kenz\3D Objects\geekcycle\app\helpers\likes_helper.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kenz\3D Objects\geekcycle\app\helpers\loves_helper.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kenz\3D Objects\geekcycle\app\helpers\reviews_helper.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kenz\3D Objects\geekcycle\app\helpers\tours_helper.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kenz\3D Objects\geekcycle\app\helpers\users_helper.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kenz\3D Objects\geekcycle\app\javascript\channels\consumer.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 3, 7
"c:\Users\kenz\3D Objects\geekcycle\app\javascript\channels\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\kenz\3D Objects\geekcycle\app\javascript\packs\application.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 3, 14
"c:\Users\kenz\3D Objects\geekcycle\app\jobs\application_job.rb", "Ruby", 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 8
"c:\Users\kenz\3D Objects\geekcycle\app\mailers\application_mailer.rb", "Ruby", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\kenz\3D Objects\geekcycle\app\models\application_record.rb", "Ruby", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\kenz\3D Objects\geekcycle\app\models\camp.rb", "Ruby", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\kenz\3D Objects\geekcycle\app\models\comment.rb", "Ruby", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\kenz\3D Objects\geekcycle\app\models\good.rb", "Ruby", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\kenz\3D Objects\geekcycle\app\models\like.rb", "Ruby", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\kenz\3D Objects\geekcycle\app\models\review.rb", "Ruby", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\kenz\3D Objects\geekcycle\app\models\tour.rb", "Ruby", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\kenz\3D Objects\geekcycle\app\models\user.rb", "Ruby", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 23
"c:\Users\kenz\3D Objects\geekcycle\app\uploaders\image_uploader.rb", "Ruby", 13, 0, 0, 0, 0, 0, 0, 0, 0, 34, 8, 55
"c:\Users\kenz\3D Objects\geekcycle\app\views\camps\create.html.erb", "Ruby ERB", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kenz\3D Objects\geekcycle\app\views\camps\destroy.html.erb", "Ruby ERB", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kenz\3D Objects\geekcycle\app\views\camps\edit.html.erb", "Ruby ERB", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\kenz\3D Objects\geekcycle\app\views\camps\index.html.erb", "Ruby ERB", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 5, 95
"c:\Users\kenz\3D Objects\geekcycle\app\views\camps\new.html.erb", "Ruby ERB", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"c:\Users\kenz\3D Objects\geekcycle\app\views\camps\show.html.erb", "Ruby ERB", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 5, 64
"c:\Users\kenz\3D Objects\geekcycle\app\views\hello\about.html.erb", "Ruby ERB", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kenz\3D Objects\geekcycle\app\views\hello\index.html.erb", "Ruby ERB", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\kenz\3D Objects\geekcycle\app\views\layouts\application.html.erb", "Ruby ERB", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"c:\Users\kenz\3D Objects\geekcycle\app\views\layouts\mailer.html.erb", "Ruby ERB", 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\kenz\3D Objects\geekcycle\app\views\layouts\mailer.text.erb", "Ruby ERB", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\kenz\3D Objects\geekcycle\app\views\tours\create.html.erb", "Ruby ERB", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kenz\3D Objects\geekcycle\app\views\tours\destroy.html.erb", "Ruby ERB", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kenz\3D Objects\geekcycle\app\views\tours\edit.html.erb", "Ruby ERB", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\kenz\3D Objects\geekcycle\app\views\tours\index.html.erb", "Ruby ERB", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 6, 96
"c:\Users\kenz\3D Objects\geekcycle\app\views\tours\index2.html.erb", "Ruby ERB", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kenz\3D Objects\geekcycle\app\views\tours\new.html.erb", "Ruby ERB", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\kenz\3D Objects\geekcycle\app\views\tours\show.html.erb", "Ruby ERB", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
